facility_pfi,facility_name,facility_network,staffed_acute_care_beds,staffed_icu_beds,free_ward_beds,free_icu_beds,baseline_ward_occupancy,baseline_icu_occupancy,system_label,routed_ward_admissions,routed_icu_admissions,peak_ward_census,peak_icu_census,days_ward_at_capacity,days_icu_at_capacity
1629,JAMAICA HOSPITAL MEDICAL CENTER (1629),MEDISYS HEALTH NETWORK,323,26,65.24599999999998,5.355999999999999,0.798,0.794,MEDISYS HEALTH NETWORK,555.4869353643796,82.1547955485106,34.27462203308724,4.768651485273175,0,0
1286,BROOKDALE HOSPITAL MEDICAL CENTER (1286),ONE BROOKLYN HEALTH,311,33,62.82199999999999,6.797999999999998,0.798,0.794,ONE BROOKLYN HEALTH,540.3831545419999,89.05917995050132,33.34268944205695,5.977011167086459,0,0
1628,FLUSHING HOSPITAL MEDICAL CENTER (1628),MEDISYS HEALTH NETWORK,184,20,37.16799999999999,4.119999999999999,0.798,0.794,MEDISYS HEALTH NETWORK,470.293786753639,65.99765895835858,29.018039416024692,3.6478875436514286,0,0
1626,ELMHURST HOSPITAL CENTER (1626),NYC H+H,457,36,92.31399999999998,7.415999999999999,0.798,0.794,NYC H+H,461.74492303167875,88.20925338159437,28.49055793225162,6.50801663124205,0,0
1294,CONEY ISLAND HOSPITAL (1294),NYC H+H,348,39,70.29599999999999,8.033999999999999,0.798,0.794,NYC H+H,432.98948044714103,73.80832565135597,26.716291314563023,5.680390107778273,0,0
1305,MAIMONIDES MC (1305),MAIMONIDES HEALTH,612,67,123.62399999999997,13.801999999999998,0.798,0.794,MAIMONIDES HEALTH,430.41429466991553,72.30960150454581,26.557397354038983,5.203486195389019,0,0
3058,MONTEFIORE MC: WEILER HOSPITAL (3058),MONTEFIORE HEALTH SYSTEM,387,32,78.17399999999998,6.591999999999999,0.798,0.794,MONTEFIORE HEALTH SYSTEM,425.67218918837057,71.51292778364625,26.264800242075694,5.14615659292026,0,0
1633,QUEENS HOSPITAL CENTER (1633),NYC H+H,244,16,49.28799999999999,3.2959999999999994,0.798,0.794,NYC H+H,378.34672757465097,52.92797231725725,23.344727408521777,2.916190170617149,0,0
1692,WOODHULL MEDICAL & MENTAL HEALTH (1692),NYC H+H,247,21,49.89399999999999,4.325999999999999,0.798,0.794,NYC H+H,351.10203376969923,57.50083537808858,21.663676922682043,3.8082351878184753,0,0
1176,SBH HEALTH SYSTEM (1176),SBH HEALTH,311,16,62.82199999999999,3.2959999999999994,0.798,0.794,SBH HEALTH,330.44746226882154,49.85597291228764,20.389249773493418,2.946598756149818,0,0
1438,BELLEVUE HOSPITAL CENTER (1438),NYC H+H,755,73,152.50999999999996,15.037999999999997,0.798,0.794,NYC H+H,313.0225752188232,52.5877926367623,19.314100423282014,3.7842810268311347,0,0
1304,NYU LANGONE: BROOKLYN (1304),NYU LANGONE,366,33,73.93199999999999,6.797999999999998,0.798,0.794,NYU LANGONE,297.7992452581154,50.030273203363386,18.374791418388895,3.600238841710066,0,0
1469,MOUNT SINAI: MORNINGSIDE (1469),MOUNT SINAI HEALTH SYSTEM,333,39,67.26599999999999,8.033999999999999,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,285.69820557970303,47.997298537390115,17.62813378383464,3.4539435311308395,0,0
1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,161,25,32.52199999999999,5.149999999999999,0.798,0.794,ONE BROOKLYN HEALTH,270.56089644167406,45.50676484548317,16.694132430655017,3.323475536544535,0,0
1320,UNIVERSITY: SUNY DOWNSTATE (1320),SUNY DOWNSTATE,223,26,45.04599999999999,5.355999999999999,0.798,0.794,SUNY DOWNSTATE,260.87764958510417,44.812089563616674,16.096657305800264,3.562983069777136,0,0
1639,MOUNT SINAI HOSPITAL OF QUEENS (1639),MOUNT SINAI HEALTH SYSTEM,157,7,31.71399999999999,1.4419999999999997,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,260.1423210101206,27.55086382737973,16.051286105555647,1.280013191668572,0,0
1637,NYP: QUEENS (1637),NEW YORK - PRESBYTERIAN,519,71,104.83799999999998,14.625999999999998,0.798,0.794,NEW YORK - PRESBYTERIAN,259.5553082409446,65.080554800252,16.015066278389227,7.705357185071286,0,0
