day,bed_type,zip_code,from_facility_pfi,to_facility_pfi,patients,rank
0,icu,10030,1445,1172,0.007325951521916754,1
0,icu,10022,10139,1458,0.006063471959558958,1
0,icu,10031,1445,1464,0.013822410744809152,1
0,icu,10037,1445,1172,0.0041909470678168645,1
0,icu,10065,10139,1458,0.0055150401018646605,1
0,icu,10456,1164,1178,0.024091506058217454,1
0,icu,10459,1164,1178,0.011681985600314276,1
1,icu,10030,1445,1172,0.0076149858675147765,1
1,icu,10022,10139,1458,0.006302697082007563,1
1,icu,10031,1445,1464,0.014367753070957619,1
1,icu,10037,1445,1172,0.004356294550605758,1
1,icu,10065,10139,1458,0.005732627674212156,1
1,icu,10456,1164,1178,0.02504200002028859,1
1,icu,10459,1164,1178,0.012142880687207907,1
2,icu,10030,1445,1172,0.007915919541054911,1
2,icu,10022,10139,1458,0.006551770923915851,1
2,icu,10031,1445,1464,0.01493554673300573,1
2,icu,10037,1445,1172,0.004528449265656398,1
2,icu,10065,10139,1458,0.005959173164256711,1
2,icu,10456,1164,1178,0.02603162510824124,1
2,icu,10459,1164,1178,0.012622750480289168,1
3,icu,10030,1445,1172,0.00822853256547945,1
3,icu,10022,10139,1458,0.006810511416822522,1
3,icu,10031,1445,1464,0.015525376684083873,1
3,icu,10037,1445,1172,0.004707285370994234,1
3,icu,10065,10139,1458,0.0061945109713536705,1
3,icu,10456,1164,1178,0.027059657924083706,1
3,icu,10459,1164,1178,0.013121244203442097,1
4,icu,10030,1445,1172,0.00855294217652809,1
4,icu,10022,10139,1458,0.007079015593258866,1
4,icu,10031,1445,1464,0.01613746412147178,1
4,icu,10037,1445,1172,0.0048928699335085354,1
4,icu,10065,10139,1458,0.006438729351588796,1
4,icu,10456,1164,1178,0.028126483999377935,1
4,icu,10459,1164,1178,0.013638548801150136,1
5,icu,10030,1445,1172,0.008889394065262592,1
5,icu,10022,10139,1458,0.007357486804401764,1
5,icu,10031,1445,1464,0.016772272608538915,1
5,icu,10037,1445,1172,0.0050853435053489875,1
5,icu,10065,10139,1458,0.006692013263332921,1
5,icu,10456,1164,1178,0.029232911293019824,1
5,icu,10459,1164,1178,0.014175056053161909,1
6,icu,10030,1445,1172,0.009238212248703945,1
6,icu,10022,10139,1458,0.007646193229492544,1
6,icu,10031,1445,1464,0.01743041349199416,1
6,icu,10037,1445,1172,0.005284891446489643,1
6,icu,10065,10139,1458,0.006954606629421059,1
6,icu,10456,1164,1178,0.030380005340046097,1
6,icu,10459,1164,1178,0.014731282638049754,1
7,icu,10030,1445,1172,0.009599741226590741,1
7,icu,10022,10139,1458,0.007945420000708065,1
7,icu,10031,1445,1464,0.018112536764793928,1
7,icu,10037,1445,1172,0.005491710834424806,1
7,icu,10065,10139,1458,0.007226768792256413,1
7,icu,10456,1164,1178,0.031568899033230416,1
7,icu,10459,1164,1178,0.01530777789619267,1
8,icu,10030,1445,1172,0.009974335491197441,1
8,icu,10022,10139,1458,0.008255460520749627,1
8,icu,10031,1445,1464,0.018819311273545906,1
8,icu,10037,1445,1172,0.005706004463065105,1
8,icu,10065,10139,1458,0.007508766616710203,1
8,icu,10456,1164,1178,0.03280075812595679,1
8,icu,10459,1164,1178,0.015905107102099133,1
9,icu,10030,1445,1172,0.01036240216772273,1
9,icu,10022,10139,1458,0.008576651755022861,1
9,icu,10031,1445,1464,0.019551505171261203,1
9,icu,10037,1445,1172,0.0059280052359661495,1
9,icu,10065,10139,1458,0.007800906590177343,1
9,icu,10456,1164,1178,0.03407692145580302,1
9,icu,10459,1164,1178,0.016523919458906012,1
10,icu,10030,1445,1172,0.01076431834171938,1
10,icu,10022,10139,1458,0.008909305806012853,1
10,icu,10031,1445,1464,0.0203098299329449,1
10,icu,10037,1445,1172,0.006157928871944391,1
10,icu,10065,10139,1458,0.00810347258594571,1
10,icu,10456,1164,1178,0.03539862907450188,1
10,icu,10459,1164,1178,0.017164816268435242,1
11,icu,10030,1445,1172,0.011180448971702797,1
11,icu,10022,10139,1458,0.009253724739016915,1
11,icu,10031,1445,1464,0.02109497415263011,1
11,icu,10037,1445,1172,0.0063959841523186034,1
11,icu,10065,10139,1458,0.008416739347963853,1
11,icu,10456,1164,1178,0.03676708115383428,1
11,icu,10459,1164,1178,0.01782837949469641,1
12,icu,10030,1445,1172,0.011611231832568451,1
12,icu,10022,10139,1458,0.00961027088728218,1
12,icu,10031,1445,1464,0.02190776381236173,1
12,icu,10037,1445,1172,0.006642421514374518,1
12,icu,10065,10139,1458,0.008741036436985332,1
12,icu,10456,1164,1178,0.038183717323384825,1
12,icu,10459,1164,1178,0.018515307214930367,1
13,icu,10030,1445,1172,0.012057027739835802,1
13,icu,10022,10139,1458,0.009979242887071568,1
13,icu,10031,1445,1464,0.022748879689278145,1
13,icu,10037,1445,1172,0.00689744736935288,1
13,icu,10065,10139,1458,0.009076635478075261,1
