facility_network,cum_cases,n_zips,catchment_pop
NYC H+H,191607.88861866418,45,2050618.0
NEW YORK - PRESBYTERIAN,90537.71916997683,25,960482.0
MOUNT SINAI HEALTH SYSTEM,82177.3442259293,18,878954.0
MEDISYS HEALTH NETWORK,73682.84058935236,22,854923.0
ONE BROOKLYN HEALTH,58250.91069379543,8,615454.0
MONTEFIORE HEALTH SYSTEM,49577.78151222457,8,511058.0
MAIMONIDES HEALTH,48019.94104602972,6,488940.0
NORTHWELL HEALTH,40439.65119175045,13,565852.0
NYU LANGONE,31976.373949772522,7,339311.0
SBH HEALTH,23736.367003696014,3,221412.0
SUNY DOWNSTATE,18739.098769583423,2,183551.0
WYCKOFF HEIGHTS MC (1318),18571.01561519013,3,188589.0
BROOKLYN CENTER DOWNTOWN (1288),18116.432651432933,4,222684.0
BRONXCARE CENTER CONCOURSE (1178),17258.419191028996,2,159515.0
RICHMOND UNIVERSITY MC (1738),15963.865286782371,5,209384.0
BRONXCARE CENTER FULTON MANDY (1164),15368.033752675106,2,144396.0
ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),12386.286315705516,5,152535.0
