zip_code,cum_cases,population,facility_pfi,facility_name,facility_network,free_acute_care_beds,free_icu_beds,system_label,vulnerability_ratio
11230,9477.449097301333,91391.0,1293,MAIMONIDES MIDWOOD COMMUNITY (1293),MAIMONIDES HEALTH,24.2,1.2,MAIMONIDES HEALTH,391.6301279876584
10456,10349.537075930444,93412.0,1164,BRONXCARE CENTER FULTON MANDY (1164),INDEPENDENT,28.9,0.0,BRONXCARE CENTER FULTON MANDY (1164),358.1154697553787
11229,7625.408816127723,83669.0,1293,MAIMONIDES MIDWOOD COMMUNITY (1293),MAIMONIDES HEALTH,24.2,1.2,MAIMONIDES HEALTH,315.0995378565175
10002,8967.470764918387,82155.0,1437,NYP: LOWER MANHATTAN (1437),NEW YORK - PRESBYTERIAN,29.7,4.1,NEW YORK - PRESBYTERIAN,301.9350425898447
11385,9991.616782101122,100883.0,1318,WYCKOFF HEIGHTS MC (1318),INDEPENDENT,33.9,3.3,WYCKOFF HEIGHTS MC (1318),294.73795817407444
11355,10242.145792932886,89465.0,1628,FLUSHING HOSPITAL MEDICAL CENTER (1628),MEDISYS HEALTH NETWORK,37.2,4.1,MEDISYS HEALTH NETWORK,275.3264998100238
11226,10998.629376081362,101727.0,1320,UNIVERSITY: SUNY DOWNSTATE (1320),SUNY DOWNSTATE,45.0,5.4,SUNY DOWNSTATE,244.41398613514139
10468,8509.6775590336,78238.0,3975,NYP: ALLEN HOSPITAL (3975),NEW YORK - PRESBYTERIAN,36.0,2.1,NEW YORK - PRESBYTERIAN,236.3799321953778
11233,7283.017613767514,75399.0,1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,32.5,5.1,ONE BROOKLYN HEALTH,224.09284965438505
11213,6654.324280380624,67217.0,1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,32.5,5.1,ONE BROOKLYN HEALTH,204.7484393963269
