facility_pfi,facility_name,facility_network,staffed_acute_care_beds,staffed_icu_beds,free_ward_beds,free_icu_beds,baseline_ward_occupancy,baseline_icu_occupancy,system_label,routed_ward_admissions,routed_icu_admissions,peak_ward_census,peak_icu_census,days_ward_at_capacity,days_icu_at_capacity
1438,BELLEVUE HOSPITAL CENTER (1438),NYC H+H,755,73,152.50999999999996,15.037999999999997,0.798,0.794,NYC H+H,2722.463176959348,278.0173829095114,143.88163397508,15.037999999999997,0,1
1456,MOUNT SINAI HOSPITAL (1456),MOUNT SINAI HEALTH SYSTEM,762,95,153.92399999999998,19.569999999999997,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,2556.1522338602663,345.86235340844394,149.03651642827418,19.10026631763514,0,0
1464,NYP: COLUMBIA CENTER (1464),NEW YORK - PRESBYTERIAN,745,116,150.48999999999998,23.895999999999994,0.798,0.794,NEW YORK - PRESBYTERIAN,2546.3648061090494,428.1393437895405,143.3866530056101,23.042954616906776,0,0
1305,MAIMONIDES MC (1305),MAIMONIDES HEALTH,612,67,123.62399999999997,13.801999999999998,0.798,0.794,MAIMONIDES HEALTH,2375.227846277829,266.0122031749731,115.13745819002808,13.801999999999998,0,1
1169,MONTEFIORE MC: HENRY & LUCY MOSES (1169),MONTEFIORE HEALTH SYSTEM,663,83,133.92599999999996,17.097999999999995,0.798,0.794,MONTEFIORE HEALTH SYSTEM,2183.1028116178086,295.25352014689736,129.72406321076122,16.693698900263815,0,0
1463,NYU LANGONE: TISCH (1463),NYU LANGONE,618,125,124.83599999999997,25.749999999999996,0.798,0.794,NYU LANGONE,2129.966273094895,450.4007586934954,120.09471724394423,25.380528586187243,0,0
1458,NYP: WEILL CORNELL MC (1458),NEW YORK - PRESBYTERIAN,621,102,125.44199999999998,21.011999999999997,0.798,0.794,NEW YORK - PRESBYTERIAN,2128.774367668327,379.1582200887762,122.4107836889064,20.845388146852066,0,0
1637,NYP: QUEENS (1637),NEW YORK - PRESBYTERIAN,519,71,104.83799999999998,14.625999999999998,0.798,0.794,NEW YORK - PRESBYTERIAN,2028.2036278920623,280.52198662708224,99.96479303979513,14.625999999999998,0,6
1626,ELMHURST HOSPITAL CENTER (1626),NYC H+H,457,36,92.31399999999998,7.415999999999999,0.798,0.794,NYC H+H,1871.4971433746148,154.01273677990912,85.05087413023807,7.416,0,10
1306,NYP: BROOKLYN METHODIST (1306),NEW YORK - PRESBYTERIAN,514,34,103.82799999999997,7.003999999999999,0.798,0.794,NEW YORK - PRESBYTERIAN,1834.4987903628903,130.3064726327295,101.16427996807586,7.004,0,3
1178,BRONXCARE CENTER CONCOURSE (1178),INDEPENDENT,479,37,96.75799999999998,7.621999999999998,0.798,0.794,BRONXCARE CENTER CONCOURSE (1178),1778.6839507689763,156.8851649686433,89.25232466837434,7.621999999999998,0,6
1740,STATEN ISLAND UNIVERSITY: NORTH (1740),NORTHWELL HEALTH,511,68,103.22199999999998,14.007999999999997,0.798,0.794,NORTHWELL HEALTH,1773.7448033690825,248.76162617077415,99.03396215516076,13.612481720209425,0,0
1301,KINGS COUNTY HOSPITAL CENTER (1301),NYC H+H,478,40,96.55599999999998,8.239999999999998,0.798,0.794,NYC H+H,1736.6334904038677,151.8627067191942,95.0698772118629,8.239999999999998,0,3
3058,MONTEFIORE MC: WEILER HOSPITAL (3058),MONTEFIORE HEALTH SYSTEM,387,32,78.17399999999998,6.591999999999999,0.798,0.794,MONTEFIORE HEALTH SYSTEM,1591.4886294983876,136.19195552597768,70.6761072503952,6.591999999999999,0,6
1450,LENOX HILL HOSPITAL (1450),NORTHWELL HEALTH,431,48,87.06199999999998,9.887999999999998,0.798,0.794,NORTHWELL HEALTH,1502.1853107142945,176.64257239917484,83.41929721780899,9.537901597309082,0,0
1294,CONEY ISLAND HOSPITAL (1294),NYC H+H,348,39,70.29599999999999,8.033999999999999,0.798,0.794,NYC H+H,1459.6606170476252,163.23467661239593,63.86058209957557,8.033999999999999,0,6
1304,NYU LANGONE: BROOKLYN (1304),NYU LANGONE,366,33,73.93199999999999,6.797999999999998,0.798,0.794,NYU LANGONE,1434.2117427685437,134.56233760341635,67.72060231629828,6.797999999999998,0,1
1466,MOUNT SINAI: WEST (1466),MOUNT SINAI HEALTH SYSTEM,388,32,78.37599999999998,6.591999999999999,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,1423.2515191202717,126.26204759179703,72.49182655187047,6.026474935639035,0,0
1629,JAMAICA HOSPITAL MEDICAL CENTER (1629),MEDISYS HEALTH NETWORK,323,26,65.24599999999998,5.355999999999999,0.798,0.794,MEDISYS HEALTH NETWORK,1415.0098167259025,116.50361518024096,61.86278465986874,5.356,0,15
1286,BROOKDALE HOSPITAL MEDICAL CENTER (1286),ONE BROOKLYN HEALTH,311,33,62.82199999999999,6.797999999999998,0.798,0.794,ONE BROOKLYN HEALTH,1364.1725965212722,143.49402443128582,59.53077483950949,6.797999999999998,0,10
1165,JACOBI MEDICAL CENTER (1165),NYC H+H,368,44,74.33599999999998,9.063999999999998,0.798,0.794,NYC H+H,1326.0739240634634,168.29160503505162,71.09328210379144,9.063999999999998,0,1
1469,MOUNT SINAI: MORNINGSIDE (1469),MOUNT SINAI HEALTH SYSTEM,333,39,67.26599999999999,8.033999999999999,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,1312.1769459408629,154.60922699572035,60.59999875605107,7.685988736285514,0,0
1172,LINCOLN MEDICAL & MENTAL HEALTH (1172),NYC H+H,346,34,69.89199999999998,7.003999999999999,0.798,0.794,NYC H+H,1289.0716819036343,137.43960840595938,64.83241281235684,7.003999999999999,0,3
1176,SBH HEALTH SYSTEM (1176),SBH HEALTH,311,16,62.82199999999999,3.2959999999999994,0.798,0.794,SBH HEALTH,1277.2776471292477,71.50333268880776,57.32135529117715,3.2959999999999994,0,15
1738,RICHMOND UNIVERSITY MC (1738),INDEPENDENT,311,33,62.82199999999999,6.797999999999998,0.798,0.794,RICHMOND UNIVERSITY MC (1738),1187.1119463148639,129.5904536835126,57.3386128515126,6.5272851903352125,0,0
1633,QUEENS HOSPITAL CENTER (1633),NYC H+H,244,16,49.28799999999999,3.2959999999999994,0.798,0.794,NYC H+H,1060.7606038106644,72.30735398133251,46.983664162147456,3.2959999999999994,0,15
