day,bed_type,zip_code,from_facility_pfi,to_facility_pfi,patients,rank
0,icu,10030,1445,1172,0.10673945254521998,1
0,icu,10022,10139,1458,0.08834506692412285,1
0,icu,10031,1445,1464,0.2013931639244691,1
0,icu,10037,1445,1172,0.06106229263549993,1
0,icu,10065,10139,1458,0.0803543893891272,1
0,icu,10456,1164,1178,0.35101435765045486,1
0,icu,10459,1164,1178,0.17020707056118267,1
1,icu,10030,1445,1172,0.112962745987725,1
1,icu,10022,10139,1458,0.09349590162072806,1
1,icu,10031,1445,1464,0.21313510869306837,1
1,icu,10037,1445,1172,0.06462244360387633,1
1,icu,10065,10139,1458,0.08503933888659629,1
1,icu,10456,1164,1178,0.37147975538392886,1
1,icu,10459,1164,1178,0.18013075408056978,1
2,icu,10030,1445,1172,0.11956105397789317,1
2,icu,10022,10139,1458,0.09895712469314753,1
2,icu,10031,1445,1464,0.22558462094932713,1
2,icu,10037,1445,1172,0.0683971286316463,1
2,icu,11105,1639,1454,0.06538722853175571,1
2,icu,10065,10139,1458,0.09000660260126395,1
2,icu,11106,1639,1458,0.1461990257887493,1
2,icu,10456,1164,1178,0.3931783943175276,1
2,icu,10459,1164,1178,0.190652436990562,1
2,icu,11102,1639,1454,0.11656028273498054,1
2,icu,11103,1639,1626,0.1314315549343033,1
2,icu,11230,1293,1324,0.31798664296037227,1
2,icu,11229,1293,1324,0.28968889838681783,1
2,icu,11370,1639,1626,0.11278912372279144,1
3,icu,10030,1445,1172,0.12654511709858243,1
3,icu,10022,10139,1458,0.10473762580203412,1
3,icu,10031,1445,1464,0.23876196573969818,1
3,icu,10034,3975,1178,0.033098756145318625,1
3,icu,10037,1445,1172,0.07239249206935609,1
3,icu,11104,1639,1626,0.09257348000602549,1
3,icu,11105,1639,1454,0.12219022297844602,1
3,icu,10065,10139,1458,0.0952642661374373,1
3,icu,11106,1639,1458,0.15473912467814768,1
3,icu,10456,1164,1178,0.41614559502581683,1
3,icu,10459,1164,1178,0.20178924625874994,1
3,icu,10460,1176,1178,0.2171809658910896,2
3,icu,10463,3975,1186,0.26341660947500345,1
3,icu,10468,3975,1186,0.3421664954964676,2
3,icu,11102,1639,1454,0.12336905820911624,1
3,icu,11103,1639,1626,0.13910902385224408,1
3,icu,11230,1293,1324,0.38107972028002807,1
3,icu,11229,1293,1324,0.30661084315380327,1
3,icu,11355,1628,1637,0.32305740700504393,1
3,icu,11356,1628,1637,0.09423388321484026,1
3,icu,11357,1628,1637,0.1225912109976096,1
3,icu,11360,1628,1637,0.04943787554552562,1
3,icu,11361,1628,1637,0.08781732984329892,1
3,icu,11362,1628,1633,0.03552169645834743,1
3,icu,11363,1628,1637,0.016039554426327044,1
3,icu,11365,1628,1633,0.15127038303802554,1
3,icu,11370,1639,1626,0.11937760996642106,1
3,icu,11411,1633,1629,0.04280238596007199,1
3,icu,11412,1633,1629,0.10940675848173574,1
3,icu,11418,1629,1638,0.010531107544191898,1
3,icu,11419,1629,1638,0.17118913037341119,2
3,icu,11423,1633,1637,0.10516017156520481,2
3,icu,11426,1633,1637,0.04673518893727312,2
3,icu,11427,1633,1637,0.07351928653449556,3
3,icu,11428,1633,1637,0.05916144345096757,3
3,icu,11436,1629,1638,0.05723135989220046,2
3,icu,11429,1633,1637,0.07898436693080857,3
3,icu,11432,1633,1637,0.26247549846054224,2
3,icu,11433,1633,1637,0.1349731545687168,2
3,icu,11434,1629,1635,0.2410199438144466,2
3,icu,11435,1629,1638,0.2219453202390056,2
4,icu,10030,1445,1172,0.13393140696278955,1
4,icu,10022,10139,1458,0.11085103801105683,1
4,icu,10031,1445,1464,0.2526982212660764,1
4,icu,10034,3975,1178,0.13500738531531434,1
4,icu,10037,1445,1172,0.07661795681012536,1
4,icu,11104,1639,1626,0.09797688531110893,1
4,icu,11105,1639,1454,0.052129983266754054,1
4,icu,11105,1639,1456,0.0771923395207095,2
4,icu,10128,1454,1456,0.27445529552878567,1
4,icu,10065,10139,1458,0.10082472946881907,1
4,icu,11106,1639,1458,0.16377106565233865,1
4,icu,10456,1164,1178,0.4404355246655284,1
4,icu,10457,1176,1178,0.36728798669508744,2
4,icu,10458,1176,1186,0.3909122394382855,1
4,icu,10459,1164,1178,0.2135674475716135,1
4,icu,10460,1176,1178,0.2519260411795566,2
4,icu,11004,1633,1637,0.03828069132119211,2
4,icu,10463,3975,1186,0.27879192760057986,1
4,icu,10468,3975,1186,0.3621383519813602,2
4,icu,11102,1639,1458,0.13056996524606568,2
4,icu,11103,1639,1626,0.14722865419798964,1
4,icu,11211,1692,1318,0.09360448811124711,1
4,icu,11212,1286,1301,0.1611648280155814,1
4,icu,11221,1692,1318,0.38643141859260377,1
4,icu,11230,1293,1324,0.4033228959939236,1
4,icu,11415,1629,1638,0.06631001834561444,2
