facility_network,cum_cases,n_zips,catchment_pop
NYC H+H,595240.9933864196,45,2050618.0
NEW YORK - PRESBYTERIAN,281260.66356762825,25,960482.0
MOUNT SINAI HEALTH SYSTEM,255288.67503075837,18,878954.0
MEDISYS HEALTH NETWORK,228900.00794918765,22,854923.0
ONE BROOKLYN HEALTH,180959.82475985037,8,615454.0
MONTEFIORE HEALTH SYSTEM,154016.24708658698,8,511058.0
MAIMONIDES HEALTH,149176.72553389732,6,488940.0
NORTHWELL HEALTH,125628.11646802466,13,565852.0
NYU LANGONE,99336.45598819146,7,339311.0
SBH HEALTH,73738.39760211407,3,221412.0
SUNY DOWNSTATE,58214.094665863086,2,183551.0
WYCKOFF HEIGHTS MC (1318),57691.9346206068,3,188589.0
BROOKLYN CENTER DOWNTOWN (1288),56279.746339246965,4,222684.0
BRONXCARE CENTER CONCOURSE (1178),53614.27787554401,2,159515.0
RICHMOND UNIVERSITY MC (1738),49592.67126262625,5,209384.0
BRONXCARE CENTER FULTON MANDY (1164),47741.68612412388,2,144396.0
ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),38478.715172330296,5,152535.0
