zip_code,cum_cases,population,facility_pfi,facility_name,facility_network,free_acute_care_beds,free_icu_beds,system_label,vulnerability_ratio
11230,29442.244033460713,91391.0,1293,MAIMONIDES MIDWOOD COMMUNITY (1293),MAIMONIDES HEALTH,24.2,1.2,MAIMONIDES HEALTH,1216.621654275236
10456,32151.435802452328,93412.0,1164,BRONXCARE CENTER FULTON MANDY (1164),INDEPENDENT,28.9,0.0,BRONXCARE CENTER FULTON MANDY (1164),1112.5064291505996
11229,23688.773731664074,83669.0,1293,MAIMONIDES MIDWOOD COMMUNITY (1293),MAIMONIDES HEALTH,24.2,1.2,MAIMONIDES HEALTH,978.8749475894246
10002,27857.966834011404,82155.0,1437,NYP: LOWER MANHATTAN (1437),NEW YORK - PRESBYTERIAN,29.7,4.1,NEW YORK - PRESBYTERIAN,937.9786812798453
11385,31039.53569860989,100883.0,1318,WYCKOFF HEIGHTS MC (1318),INDEPENDENT,33.9,3.3,WYCKOFF HEIGHTS MC (1318),915.6205220828876
11355,31817.818567622668,89465.0,1628,FLUSHING HOSPITAL MEDICAL CENTER (1628),MEDISYS HEALTH NETWORK,37.2,4.1,MEDISYS HEALTH NETWORK,855.3177034307168
11226,34167.87859260409,101727.0,1320,UNIVERSITY: SUNY DOWNSTATE (1320),SUNY DOWNSTATE,45.0,5.4,SUNY DOWNSTATE,759.2861909467575
10468,26435.805749721516,78238.0,3975,NYP: ALLEN HOSPITAL (3975),NEW YORK - PRESBYTERIAN,36.0,2.1,NEW YORK - PRESBYTERIAN,734.3279374922644
11233,22625.115649061463,75399.0,1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,32.5,5.1,ONE BROOKLYN HEALTH,696.1574045865066
11213,20672.043429548587,67217.0,1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,32.5,5.1,ONE BROOKLYN HEALTH,636.0628747553411
