facility_pfi,facility_name,facility_network,staffed_acute_care_beds,staffed_icu_beds,free_ward_beds,free_icu_beds,baseline_ward_occupancy,baseline_icu_occupancy,system_label,routed_ward_admissions,routed_icu_admissions,peak_ward_census,peak_icu_census,days_ward_at_capacity,days_icu_at_capacity
1438,BELLEVUE HOSPITAL CENTER (1438),NYC H+H,755,73,152.50999999999996,15.037999999999997,0.798,0.794,NYC H+H,1756.165682788297,168.77091802617605,152.51,15.038000000000011,21,101
1456,MOUNT SINAI HOSPITAL (1456),MOUNT SINAI HEALTH SYSTEM,762,95,153.92399999999998,19.569999999999997,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,1737.2728434871135,205.79816920106612,153.92399999999998,19.569999999999993,21,99
1464,NYP: COLUMBIA CENTER (1464),NEW YORK - PRESBYTERIAN,745,116,150.48999999999998,23.895999999999994,0.798,0.794,NEW YORK - PRESBYTERIAN,1715.6718925396926,258.16134983443857,150.49,23.896,21,99
1169,MONTEFIORE MC: HENRY & LUCY MOSES (1169),MONTEFIORE HEALTH SYSTEM,663,83,133.92599999999996,17.097999999999995,0.798,0.794,MONTEFIORE HEALTH SYSTEM,1509.1084583636527,178.7598614185805,133.926,17.098,21,99
1305,MAIMONIDES MC (1305),MAIMONIDES HEALTH,612,67,123.62399999999997,13.801999999999998,0.798,0.794,MAIMONIDES HEALTH,1460.5538096260361,156.43235069535723,123.62400000000002,13.802,28,103
1463,NYU LANGONE: TISCH (1463),NYU LANGONE,618,125,124.83599999999997,25.749999999999996,0.798,0.794,NYU LANGONE,1408.91173326089,273.4560869474129,124.83600000000001,25.75,21,99
1458,NYP: WEILL CORNELL MC (1458),NEW YORK - PRESBYTERIAN,621,102,125.44199999999998,21.011999999999997,0.798,0.794,NEW YORK - PRESBYTERIAN,1399.4561433022025,232.70935802795964,125.44200000000001,21.012,21,99
1637,NYP: QUEENS (1637),NEW YORK - PRESBYTERIAN,519,71,104.83799999999998,14.625999999999998,0.798,0.794,NEW YORK - PRESBYTERIAN,1248.7744863679745,163.6662073738048,104.83799999999997,14.626000000000005,28,114
1740,STATEN ISLAND UNIVERSITY: NORTH (1740),NORTHWELL HEALTH,511,68,103.22199999999998,14.007999999999997,0.798,0.794,NORTHWELL HEALTH,1173.1134616123509,152.12209220488896,103.22199999999998,14.00800000000001,21,99
1306,NYP: BROOKLYN METHODIST (1306),NEW YORK - PRESBYTERIAN,514,34,103.82799999999997,7.003999999999999,0.798,0.794,NEW YORK - PRESBYTERIAN,1169.7428547053041,78.11680874315087,103.828,7.004000000000005,28,104
1626,ELMHURST HOSPITAL CENTER (1626),NYC H+H,457,36,92.31399999999998,7.415999999999999,0.798,0.794,NYC H+H,1127.394907889326,86.76032507918869,92.31400000000002,7.416000000000004,28,116
1178,BRONXCARE CENTER CONCOURSE (1178),INDEPENDENT,479,37,96.75799999999998,7.621999999999998,0.798,0.794,BRONXCARE CENTER CONCOURSE (1178),1122.6245579821589,88.7072516594437,96.75799999999998,7.622,21,116
1301,KINGS COUNTY HOSPITAL CENTER (1301),NYC H+H,478,40,96.55599999999998,8.239999999999998,0.798,0.794,NYC H+H,1093.5430250968764,91.44909465771211,96.55599999999998,8.239999999999998,28,114
1450,LENOX HILL HOSPITAL (1450),NORTHWELL HEALTH,431,48,87.06199999999998,9.887999999999998,0.798,0.794,NORTHWELL HEALTH,990.3948067531297,104.06843530452218,87.06200000000001,9.888000000000005,21,99
3058,MONTEFIORE MC: WEILER HOSPITAL (3058),MONTEFIORE HEALTH SYSTEM,387,32,78.17399999999998,6.591999999999999,0.798,0.794,MONTEFIORE HEALTH SYSTEM,958.0521249238649,77.07155598529519,78.17399999999998,6.592,28,115
1466,MOUNT SINAI: WEST (1466),MOUNT SINAI HEALTH SYSTEM,388,32,78.37599999999998,6.591999999999999,0.798,0.794,MOUNT SINAI HEALTH SYSTEM,914.6132422321506,74.14443711533617,78.37599999999998,6.591999999999999,21,99
1304,NYU LANGONE: BROOKLYN (1304),NYU LANGONE,366,33,73.93199999999999,6.797999999999998,0.798,0.794,NYU LANGONE,882.5386852189946,77.96785445988851,73.93200000000002,6.798000000000002,28,103
1294,CONEY ISLAND HOSPITAL (1294),NYC H+H,348,39,70.29599999999999,8.033999999999999,0.798,0.794,NYC H+H,872.7794261131586,93.01193460622106,70.29599999999999,8.033999999999999,28,115
1165,JACOBI MEDICAL CENTER (1165),NYC H+H,368,44,74.33599999999998,9.063999999999998,0.798,0.794,NYC H+H,851.0204103219457,101.19267044526796,74.33600000000001,9.064,21,101
1629,JAMAICA HOSPITAL MEDICAL CENTER (1629),MEDISYS HEALTH NETWORK,323,26,65.24599999999998,5.355999999999999,0.798,0.794,MEDISYS HEALTH NETWORK,831.0556662940169,64.8660569809909,65.24599999999998,5.356000000000002,36,119
1172,LINCOLN MEDICAL & MENTAL HEALTH (1172),NYC H+H,346,34,69.89199999999998,7.003999999999999,0.798,0.794,NYC H+H,816.736979202621,79.97832468246989,69.892,7.004000000000005,21,113
