facility_network,cum_cases,n_zips,catchment_pop
NYC H+H,1341939.2955116567,45,2050618.0
NEW YORK - PRESBYTERIAN,634087.2703941283,25,960482.0
MOUNT SINAI HEALTH SYSTEM,575534.7977192865,18,878954.0
MEDISYS HEALTH NETWORK,516042.945332793,22,854923.0
ONE BROOKLYN HEALTH,407964.3412537971,8,615454.0
MONTEFIORE HEALTH SYSTEM,347221.4723265046,8,511058.0
MAIMONIDES HEALTH,336311.02728796226,6,488940.0
NORTHWELL HEALTH,283221.93528783874,13,565852.0
NYU LANGONE,223948.77914747407,7,339311.0
SBH HEALTH,166239.31219418097,3,221412.0
SUNY DOWNSTATE,131240.59339448635,2,183551.0
WYCKOFF HEIGHTS MC (1318),130063.41122615288,3,188589.0
BROOKLYN CENTER DOWNTOWN (1288),126879.70753559141,4,222684.0
BRONXCARE CENTER CONCOURSE (1178),120870.55004789797,2,159515.0
RICHMOND UNIVERSITY MC (1738),111804.05092413818,5,209384.0
BRONXCARE CENTER FULTON MANDY (1164),107631.10295791518,2,144396.0
ST. JOHN'S EPISCOPAL: SOUTH SHORE (1635),86748.225515828,5,152535.0
