zip_code,cum_cases,population,facility_pfi,facility_name,facility_network,free_acute_care_beds,free_icu_beds,system_label,vulnerability_ratio
11230,66375.97990650413,91391.0,1293,MAIMONIDES MIDWOOD COMMUNITY (1293),MAIMONIDES HEALTH,24.2,1.2,MAIMONIDES HEALTH,2742.8090870456253
10456,72483.70927037614,93412.0,1164,BRONXCARE CENTER FULTON MANDY (1164),INDEPENDENT,28.9,0.0,BRONXCARE CENTER FULTON MANDY (1164),2508.0868259645727
11229,53405.085816002524,83669.0,1293,MAIMONIDES MIDWOOD COMMUNITY (1293),MAIMONIDES HEALTH,24.2,1.2,MAIMONIDES HEALTH,2206.8217279339888
10002,62804.31086397227,82155.0,1437,NYP: LOWER MANHATTAN (1437),NEW YORK - PRESBYTERIAN,29.7,4.1,NEW YORK - PRESBYTERIAN,2114.6232614132077
11385,69976.98937270773,100883.0,1318,WYCKOFF HEIGHTS MC (1318),INDEPENDENT,33.9,3.3,WYCKOFF HEIGHTS MC (1318),2064.2179755960983
11355,71731.58688288591,89465.0,1628,FLUSHING HOSPITAL MEDICAL CENTER (1628),MEDISYS HEALTH NETWORK,37.2,4.1,MEDISYS HEALTH NETWORK,1928.268464593707
11226,77029.67274957352,101727.0,1320,UNIVERSITY: SUNY DOWNSTATE (1320),SUNY DOWNSTATE,45.0,5.4,SUNY DOWNSTATE,1711.7705055460783
10468,59598.12401736655,78238.0,3975,NYP: ALLEN HOSPITAL (3975),NEW YORK - PRESBYTERIAN,36.0,2.1,NEW YORK - PRESBYTERIAN,1655.5034449268487
11233,51007.12500031253,75399.0,1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,32.5,5.1,ONE BROOKLYN HEALTH,1569.4500000096164
11213,46604.02711650287,67217.0,1309,INTERFAITH MEDICAL CENTER (1309),ONE BROOKLYN HEALTH,32.5,5.1,ONE BROOKLYN HEALTH,1433.970065123165
